day,date,platform,program,hook_type,title,hook,cta,hashtags,link_slug,status
160,2026-12-07,youtube_shorts,Perplexity,howto,【Perplexity】AI検索が一瞬で終わるAI活用 #shorts,PerplexityでAI検索を終わらせる3ステップ、見せます。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #リサーチ #情報収集 #Perplexity,perplexity-d160,draft
161,2026-12-08,youtube_shorts,Notion,mistake,【Notion】Notion AIが一瞬で終わるAI活用 #shorts,Notion AIでこれやってる人、時間めっちゃ損してます（Notionで解決）。,概要欄にNotionを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #仕事効率化 #自動化 #Notion,notion-d161,draft
162,2026-12-09,youtube_shorts,Adobe (Firefly / Creative Cloud),tier,【Adobe (Firefly / Creative Cloud)】AI画像生成が一瞬で終わるAI活用 #shorts,design系AIツールTop3、本命はAdobe (Firefly / Creative Cloud)でした。,概要欄にAdobe (Firefly / Creative Cloud)を無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #AdobeFireflyCreativeCloud,adobe-firefly-creative-cloud-d162,draft
163,2026-12-10,youtube_shorts,ElevenLabs,pain,【ElevenLabs】AIナレーションが一瞬で終わるAI活用 #shorts,AIナレーション、まだ手作業でやってませんか？それ、ElevenLabsで一瞬です。,概要欄にElevenLabsを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AI音声 #ナレーション #ElevenLabs,elevenlabs-d163,draft
164,2026-12-11,youtube_shorts,HeyGen,result,【HeyGen】AIアバター動画が一瞬で終わるAI活用 #shorts,HeyGenを使ったらAIアバター動画が10分→1分になった話、します。,概要欄にHeyGenを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #HeyGen,heygen-d164,draft
165,2026-12-12,youtube_shorts,ChatGPT (OpenAI),vs,【ChatGPT (OpenAI)】ChatGPT活用が一瞬で終わるAI活用 #shorts,ChatGPT活用、手作業とChatGPT (OpenAI)でどれだけ違うか比べてみた。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #chatgpt #生成AI #ChatGPTOpenAI,chatgpt-openai-d165,draft
166,2026-12-13,youtube_shorts,Synthesia,howto,【Synthesia】研修動画が一瞬で終わるAI活用 #shorts,Synthesiaで研修動画を終わらせる3ステップ、見せます。,概要欄にSynthesiaを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Synthesia,synthesia-d166,draft
167,2026-12-14,youtube_shorts,Descript,mistake,【Descript】動画/音声編集が一瞬で終わるAI活用 #shorts,動画/音声編集でこれやってる人、時間めっちゃ損してます（Descriptで解決）。,概要欄にDescriptを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Descript,descript-d167,draft
168,2026-12-15,youtube_shorts,Pictory,tier,【Pictory】テキストから動画が一瞬で終わるAI活用 #shorts,video系AIツールTop3、本命はPictoryでした。,概要欄にPictoryを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Pictory,pictory-d168,draft
169,2026-12-16,youtube_shorts,InVideo AI,pain,【InVideo AI】プロンプトから動画が一瞬で終わるAI活用 #shorts,プロンプトから動画、まだ手作業でやってませんか？それ、InVideo AIで一瞬です。,概要欄にInVideo AIを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #InVideoAI,invideo-ai-d169,draft
170,2026-12-17,youtube_shorts,Midjourney,result,【Midjourney】AI画像が一瞬で終わるAI活用 #shorts,Midjourneyを使ったらAI画像が10分→1分になった話、します。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #Midjourney,midjourney-d170,draft
171,2026-12-18,youtube_shorts,Fliki,vs,【Fliki】テキスト読み上げ動画が一瞬で終わるAI活用 #shorts,テキスト読み上げ動画、手作業とFlikiでどれだけ違うか比べてみた。,概要欄にFlikiを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Fliki,fliki-d171,draft
172,2026-12-19,youtube_shorts,Murf.ai,howto,【Murf.ai】AIナレーションが一瞬で終わるAI活用 #shorts,Murf.aiでAIナレーションを終わらせる3ステップ、見せます。,概要欄にMurf.aiを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AI音声 #ナレーション #Murfai,murf-ai-d172,draft
173,2026-12-20,youtube_shorts,Jasper,mistake,【Jasper】AIライティングが一瞬で終わるAI活用 #shorts,AIライティングでこれやってる人、時間めっちゃ損してます（Jasperで解決）。,概要欄にJasperを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AIライティング #ブログ #Jasper,jasper-d173,draft
174,2026-12-21,youtube_shorts,Writesonic,tier,【Writesonic】AI記事作成が一瞬で終わるAI活用 #shorts,writing系AIツールTop3、本命はWritesonicでした。,概要欄にWritesonicを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AIライティング #ブログ #Writesonic,writesonic-d174,draft
175,2026-12-22,youtube_shorts,Perplexity,pain,【Perplexity】AI検索が一瞬で終わるAI活用 #shorts,AI検索、まだ手作業でやってませんか？それ、Perplexityで一瞬です。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #リサーチ #情報収集 #Perplexity,perplexity-d175,draft
176,2026-12-23,youtube_shorts,Canva,result,【Canva】サムネ作成が一瞬で終わるAI活用 #shorts,Canvaを使ったらサムネ作成が10分→1分になった話、します。,概要欄にCanvaを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #Canva,canva-d176,draft
177,2026-12-24,youtube_shorts,Notion,vs,【Notion】Notion AIが一瞬で終わるAI活用 #shorts,Notion AI、手作業とNotionでどれだけ違うか比べてみた。,概要欄にNotionを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #仕事効率化 #自動化 #Notion,notion-d177,draft
178,2026-12-25,youtube_shorts,Adobe (Firefly / Creative Cloud),howto,【Adobe (Firefly / Creative Cloud)】AI画像生成が一瞬で終わるAI活用 #shorts,Adobe (Firefly / Creative Cloud)でAI画像生成を終わらせる3ステップ、見せます。,概要欄にAdobe (Firefly / Creative Cloud)を無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #デザイン #サムネ #AdobeFireflyCreativeCloud,adobe-firefly-creative-cloud-d178,draft
179,2026-12-26,youtube_shorts,ElevenLabs,mistake,【ElevenLabs】AIナレーションが一瞬で終わるAI活用 #shorts,AIナレーションでこれやってる人、時間めっちゃ損してます（ElevenLabsで解決）。,概要欄にElevenLabsを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #AI音声 #ナレーション #ElevenLabs,elevenlabs-d179,draft
180,2026-12-27,youtube_shorts,ChatGPT (OpenAI),tier,【ChatGPT (OpenAI)】ChatGPT活用が一瞬で終わるAI活用 #shorts,general系AIツールTop3、本命はChatGPT (OpenAI)でした。,概要欄に関連の便利ツールまとめておきます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #chatgpt #生成AI #ChatGPTOpenAI,chatgpt-openai-d180,draft
181,2026-12-28,youtube_shorts,HeyGen,pain,【HeyGen】AIアバター動画が一瞬で終わるAI活用 #shorts,AIアバター動画、まだ手作業でやってませんか？それ、HeyGenで一瞬です。,概要欄にHeyGenを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #HeyGen,heygen-d181,draft
182,2026-12-29,youtube_shorts,Synthesia,result,【Synthesia】研修動画が一瞬で終わるAI活用 #shorts,Synthesiaを使ったら研修動画が10分→1分になった話、します。,概要欄にSynthesiaを無料で試せるリンク置いときます（PR）。,#AIツール #shorts #業務効率化 #AI活用 #動画編集 #動画制作 #Synthesia,synthesia-d182,draft
